Year,Boston Celtics,Brooklyn Nets,New York Knicks,Philadelphia 76ers,Toronto Raptors,Chicago Bulls,Cleveland Cavaliers,Detroit Pistons,Indiana Pacers,Milwaukee Bucks,Atlanta Hawks,Charlotte Hornets,Miami Heat,Orlando Magic,Washington Wizards,Denver Nuggets,Minnesota Timberwolves,Oklahoma City Thunder,Portland Trail Blazers,Utah Jazz,Golden State Warriors,Los Angeles Clippers,Los Angeles Lakers,Phoenix Suns,Sacramento Kings,Dallas Mavericks,Houston Rockets,Memphis Grizzlies,New Orleans Pelicans,San Antonio Spurs
2022,117.9,113.4,116,115.2,112.9,113.1,112.3,110.3,116.3,116.9,118.4,111,109.5,111.4,113.2,115.8,115.8,117.5,113.4,117.1,118.9,113.6,117.2,113.6,120.7,114.2,110.7,116.9,114.4,113
2021,111.8,112.9,106.5,109.9,109.4,111.6,107.8,104.8,111.5,115.5,113.9,115.3,110,104.2,108.6,112.7,115.9,103.7,106.2,113.6,111,108.4,112.1,114.8,110.3,108,109.7,115.6,109.3,113.2
2020,112.6,118.6,107,113.6,111.3,110.7,103.8,106.6,115.3,120.1,113.7,109.5,108.1,104,116.6,115.1,112.1,105,116.1,116.4,113.7,114,109.5,115.3,113.7,112.4,108.8,113.3,114.6,111.1
2019,113.7,111.8,105.8,110.7,112.8,106.8,106.9,107.2,109.4,118.7,111.8,102.9,112,107.3,114.4,111.3,113.3,110.4,115,111.3,106.3,116.3,113.4,113.6,110.1,117,117.8,112.6,115.8,114.1
2018,112.4,112.2,104.6,115.2,114.4,104.9,104.5,107,108,118.1,113.3,110.7,105.7,107.3,114,110.7,112.5,114.5,114.7,111.7,117.7,115.1,111.8,107.5,114.2,108.9,113.9,103.5,115.4,111.7
2017,104,106.6,104.5,109.8,111.7,102.9,110.9,103.8,105.6,106.5,103.4,108.2,103.4,103.4,106.6,110,109.5,107.9,105.6,104.1,113.5,109,108.1,103.9,98.8,102.3,112.4,99.3,111.7,102.7
2016,108,105.8,104.3,102.4,106.9,102.9,110.3,101.3,105.1,103.6,103.2,104.9,103.2,101.1,109.2,111.7,105.6,106.6,107.9,100.7,115.9,108.7,104.6,107.7,102.8,97.9,115.3,100.5,104.3,105.3
2015,105.7,98.6,98.4,97.4,102.7,101.6,104.3,102,102.2,99,102.8,103.4,100,102.1,104.1,101.9,102.4,110.2,105.1,97.7,114.9,104.5,97.3,100.9,106.6,102.3,106.5,99.1,102.7,103.5
2014,101.4,98,91.9,92,104,100.8,103.1,98.5,97.3,97.8,102.5,94.2,94.7,95.7,98.5,101.5,97.8,104,102.8,95.1,110,106.7,98.5,102.4,101.3,105.2,103.9,98.3,99.4,103.2
2013,96.2,98.5,98.6,99.5,101.3,93.7,98.2,101,96.7,95.5,101,96.9,102.2,96.5,100.7,104.4,106.9,106.2,106.7,95,104.3,107.9,103,105.2,100.5,104.8,107.7,96.1,99.7,105.4
2012,96.5,96.9,100,93.2,97.2,93.2,96.5,94.9,94.7,98.9,98,93.4,102.9,94.1,93.2,106.1,95.7,105.7,97.5,98,101.2,101.1,102.2,95.2,100.2,101.1,106,93.4,94.1,103
2011,91.8,93.1,97.8,93.6,90.7,96.3,93,90.9,97.7,99,96.6,87,98.5,94.2,93.6,104.1,97.9,103.1,97.2,99.7,97.8,97.5,97.3,98.4,98.8,95.8,98.1,95,89.6,103.7
2010,96.5,94.2,106.5,99,99.1,98.6,95.5,97,99.8,91.9,95,93.3,102.1,99.2,97.3,107.5,101.1,104.8,96.3,99.4,103.4,98.6,101.5,105,99.4,100.2,105.9,99.9,94.9,103.7
2009,99.2,92.4,102.1,97.7,104.1,97.5,102.1,94,100.8,97.7,101.7,95.3,96.5,102.8,96.2,106.5,98.2,101.5,98.1,104.2,108.8,95.7,101.7,110.2,100,102,102.4,102.5,100.2,101.4
2008,100.9,98.1,105.2,97.4,99,102.2,100.3,94.2,105.1,99.3,98.1,93.6,98.3,101,96.1,104.3,97.8,97,99.4,103.6,108.6,95.1,106.9,109.4,100.6,101.7,98.4,93.9,95.8,97
2007,100.5,95.8,96.9,96.6,100.2,97.3,96.4,97.5,104,97,98.2,97.1,91.4,104.5,98.8,110.7,95.6,97.5,95.4,106.2,111,93.8,108.6,110.1,102.5,100.4,96.7,100.7,100.9,95.4
2006,95.8,97.6,97.5,94.9,99.5,98.8,96.8,96,95.6,99.7,93.7,96.9,94.6,94.8,104.3,105.4,96.1,99.1,94.1,101.5,106.5,95.6,103.3,110.2,101.3,100,97,101.6,95.5,98.5
2005,98,93.8,95.6,99.4,101.1,97.8,97.6,96.8,93.9,97.8,97.2,96.9,99.9,94.9,101.7,100.3,91.7,102.6,88.8,92.4,98.5,97.2,99.4,108.4,98.9,99.1,90.1,92.2,92.8,95.6
2004,101.3,91.4,97.3,99.1,99.7,94.5,96.5,93.3,93,97.2,92.7,94.3,101.5,99.5,100.5,99.5,96.8,98.9,92.9,93,98.7,95.7,98.7,110.4,103.7,102.5,95.1,93.4,88.4,96.2
